id,text_snippet,labels,extracted_entities
1,"The analytics looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Pricing Discussion","{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['budget'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
2,"We like your product, but CompetitorY offers better analytics. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['CompetitorY'], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
3,"We like your product, but CompetitorY offers better AI engine.",Competition,"{'competitors': ['CompetitorY'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
4,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
5,"We like your product, but MediPlus offers better analytics. The automation looks great, but the pricing model is too high.","Competition, Pricing Discussion","{'competitors': ['MediPlus'], 'features': ['analytics', 'automation'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
6,"We like your product, but TechCorp offers better automation. Is your solution privacy policy? Our team is concerned about compliance.","Security, Competition","{'competitors': ['TechCorp'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
7,"The remote monitoring looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['remote monitoring', 'automation'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
8,"We like your product, but TechCorp offers better remote monitoring. The data pipeline looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['TechCorp'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
9,"The data pipeline looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.",rand,"{'competitors': [], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['encryption'], 'other_entities': []}"
10,Is your solution privacy policy? Our team is concerned about compliance.,rand,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
11,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
12,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['remote monitoring'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
13,"The AI engine looks great, but the budget is too high.",Pricing Discussion,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
14,"The analytics looks great, but the pricing model is too high.",Pricing Discussion,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
15,"The analytics looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
16,"We like your product, but CompetitorZ offers better automation. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Competition","{'competitors': ['CompetitorZ'], 'features': ['AI engine', 'automation'], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
17,"The AI engine looks great, but the budget is too high.",Pricing Discussion,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['budget'], 'security_keywords': [], 'other_entities': []}"
18,"The automation looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'automation'], 'pricing_keywords': ['pricing model'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
19,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
20,"We like your product, but MediPlus offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance.","Security, Competition","{'competitors': ['MediPlus'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
21,"The automation looks great, but the discount is too high.",rand,"{'competitors': [], 'features': ['automation'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
22,"The AI engine looks great, but the subscription cost is too high.",Pricing Discussion,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
23,"The remote monitoring looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.",rand,"{'competitors': [], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
24,"The data pipeline looks great, but the subscription cost is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
25,"The data pipeline looks great, but the pricing model is too high.",rand,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
26,Is your solution data compliance? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['data compliance'], 'other_entities': []}"
27,"We like your product, but CompetitorY offers better remote monitoring. The data pipeline looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","Security, Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['remote monitoring', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
28,I’m not sure if analytics solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
29,"The analytics looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
30,"The analytics looks great, but the discount is too high.",Pricing Discussion,"{'competitors': [], 'features': ['analytics'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
31,"The automation looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['budget'], 'security_keywords': ['SOC2 certified'], 'other_entities': []}"
32,"We like your product, but CompetitorX offers better AI engine. The data pipeline looks great, but the discount is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
33,"We like your product, but MediPlus offers better automation. Is your solution privacy policy? Our team is concerned about compliance.","Security, Competition","{'competitors': ['MediPlus'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['privacy policy'], 'other_entities': []}"
34,"We like your product, but TechCorp offers better AI engine. The automation looks great, but the discount is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.",rand,"{'competitors': ['TechCorp'], 'features': ['AI engine', 'automation'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
35,"We like your product, but TechCorp offers better automation. Is your solution encryption? Our team is concerned about compliance.","Security, Competition","{'competitors': ['TechCorp'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
36,"We like your product, but CompetitorZ offers better AI engine.",Competition,"{'competitors': ['CompetitorZ'], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
37,"The automation looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'automation'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
38,"We like your product, but CompetitorZ offers better data pipeline. The remote monitoring looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Competition, Pricing Discussion","{'competitors': ['CompetitorZ'], 'features': ['remote monitoring', 'automation', 'data pipeline'], 'pricing_keywords': ['subscription cost'], 'security_keywords': ['encryption'], 'other_entities': []}"
39,Is your solution encryption? Our team is concerned about compliance.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': [], 'security_keywords': ['encryption'], 'other_entities': []}"
40,"We like your product, but CompetitorY offers better analytics. I’m not sure if automation solves our use case. We’re still evaluating.",rand,"{'competitors': ['CompetitorY'], 'features': ['analytics', 'automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
41,"We like your product, but CompetitorY offers better AI engine. The remote monitoring looks great, but the discount is too high.","Competition, Pricing Discussion","{'competitors': ['CompetitorY'], 'features': ['AI engine', 'remote monitoring'], 'pricing_keywords': ['discount'], 'security_keywords': [], 'other_entities': []}"
42,"We like your product, but MediPlus offers better automation.",Competition,"{'competitors': ['MediPlus'], 'features': ['automation'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
43,I’m not sure if data pipeline solves our use case. We’re still evaluating.,rand,"{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
44,"The analytics looks great, but the subscription cost is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'remote monitoring'], 'pricing_keywords': ['subscription cost'], 'security_keywords': [], 'other_entities': []}"
45,"The AI engine looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.",rand,"{'competitors': [], 'features': ['AI engine', 'data pipeline'], 'pricing_keywords': ['budget'], 'security_keywords': ['privacy policy'], 'other_entities': []}"
46,"We like your product, but CompetitorX offers better analytics. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Competition","{'competitors': ['CompetitorX'], 'features': ['analytics'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
47,"The data pipeline looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Pricing Discussion","{'competitors': [], 'features': ['data pipeline'], 'pricing_keywords': ['pricing model'], 'security_keywords': [], 'other_entities': []}"
48,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection,"{'competitors': [], 'features': ['AI engine'], 'pricing_keywords': [], 'security_keywords': [], 'other_entities': []}"
