id,text_snippet,labels
1,"We like your product, but MediPlus offers better automation. The automation looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
2,"We like your product, but CompetitorY offers better automation. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Security, Objection"
3,"We like your product, but CompetitorX offers better AI engine. The analytics looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
4,"We like your product, but MediPlus offers better analytics. The remote monitoring looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
5,"We like your product, but MediPlus offers better analytics. The AI engine looks great, but the budget is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
6,"The analytics looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Pricing Discussion"
7,"We like your product, but CompetitorY offers better data pipeline. The AI engine looks great, but the pricing model is too high.","Competition, Pricing Discussion"
8,"We like your product, but MediPlus offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
9,"We like your product, but MediPlus offers better analytics. The automation looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
10,"The AI engine looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
11,"The automation looks great, but the discount is too high. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
12,"We like your product, but CompetitorY offers better remote monitoring. The automation looks great, but the discount is too high.","Competition, Pricing Discussion"
13,"We like your product, but CompetitorY offers better automation. The automation looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.","Competition, Security, Pricing Discussion"
14,"The data pipeline looks great, but the subscription cost is too high.",Pricing Discussion
15,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection
16,"We like your product, but TechCorp offers better analytics. The analytics looks great, but the discount is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
17,Is your solution data compliance? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.,"Objection, Security"
18,"We like your product, but TechCorp offers better AI engine. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Objection"
19,"The remote monitoring looks great, but the discount is too high.",Pricing Discussion
20,"We like your product, but CompetitorZ offers better automation. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
21,"We like your product, but CompetitorX offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Security, Objection"
22,"We like your product, but TechCorp offers better analytics. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
23,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection
24,"We like your product, but CompetitorX offers better remote monitoring. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
25,"We like your product, but MediPlus offers better automation. The automation looks great, but the budget is too high.","Competition, Pricing Discussion"
26,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.,"Objection, Security"
27,"We like your product, but CompetitorY offers better data pipeline. The remote monitoring looks great, but the budget is too high.","Competition, Pricing Discussion"
28,"The automation looks great, but the budget is too high.",Pricing Discussion
29,"We like your product, but CompetitorY offers better automation. The AI engine looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
30,"We like your product, but CompetitorX offers better analytics. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security"
31,"The automation looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Pricing Discussion"
32,"The analytics looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
33,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection
34,"We like your product, but MediPlus offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance.","Competition, Security"
35,"We like your product, but CompetitorX offers better automation. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","Competition, Objection"
36,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
37,Is your solution SOC2 certified? Our team is concerned about compliance. I’m not sure if remote monitoring solves our use case. We’re still evaluating.,"Objection, Security"
38,"We like your product, but CompetitorZ offers better remote monitoring. The analytics looks great, but the pricing model is too high.","Competition, Pricing Discussion"
39,"The remote monitoring looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","Security, Pricing Discussion"
40,"We like your product, but MediPlus offers better automation. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if AI engine solves our use case. We’re still evaluating.","Competition, Security, Objection"
41,I’m not sure if analytics solves our use case. We’re still evaluating.,Objection
42,"The data pipeline looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance.","Security, Pricing Discussion"
43,"We like your product, but MediPlus offers better automation. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Objection"
44,"We like your product, but TechCorp offers better remote monitoring.",Competition
45,I’m not sure if remote monitoring solves our use case. We’re still evaluating.,Objection
46,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
47,"We like your product, but CompetitorY offers better analytics. The remote monitoring looks great, but the budget is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
48,"We like your product, but MediPlus offers better analytics. The analytics looks great, but the pricing model is too high. I’m not sure if data pipeline solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
49,"The automation looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Objection, Pricing Discussion"
50,"The automation looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance. I’m not sure if automation solves our use case. We’re still evaluating.","Objection, Security, Pricing Discussion"
51,"The AI engine looks great, but the pricing model is too high. Is your solution data compliance? Our team is concerned about compliance.","Security, Pricing Discussion"
52,"The data pipeline looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Security, Pricing Discussion"
53,"We like your product, but MediPlus offers better AI engine. The remote monitoring looks great, but the subscription cost is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","Competition, Objection, Pricing Discussion"
54,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
55,Is your solution privacy policy? Our team is concerned about compliance.,Security
56,"We like your product, but CompetitorY offers better analytics. The automation looks great, but the subscription cost is too high.","Competition, Pricing Discussion"
57,I’m not sure if AI engine solves our use case. We’re still evaluating.,Objection
58,"We like your product, but MediPlus offers better automation.",Competition
