id,text_snippet,labels,preprocessed_text
1,"We like your product, but MediPlus offers better automation. The automation looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product mediplus offer better automation automation look great subscription cost high solution soc certified team concerned compliance
2,"We like your product, but CompetitorY offers better automation. Is your solution data compliance? Our team is concerned about compliance. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Security', 'Objection']",like product competitory offer better automation solution data compliance team concerned compliance im sure analytics solves use case still evaluating
3,"We like your product, but CompetitorX offers better AI engine. The analytics looks great, but the discount is too high. I’m not sure if analytics solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product competitorx offer better ai engine analytics look great discount high im sure analytics solves use case still evaluating
4,"We like your product, but MediPlus offers better analytics. The remote monitoring looks great, but the pricing model is too high. Is your solution privacy policy? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product mediplus offer better analytics remote monitoring look great pricing model high solution privacy policy team concerned compliance
5,"We like your product, but MediPlus offers better analytics. The AI engine looks great, but the budget is too high. I’m not sure if remote monitoring solves our use case. We’re still evaluating.","['Competition', 'Objection', 'Pricing Discussion']",like product mediplus offer better analytics ai engine look great budget high im sure remote monitoring solves use case still evaluating
6,"The analytics looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.","['Security', 'Pricing Discussion']",analytics look great subscription cost high solution data compliance team concerned compliance
7,"We like your product, but CompetitorY offers better data pipeline. The AI engine looks great, but the pricing model is too high.","['Competition', 'Pricing Discussion']",like product competitory offer better data pipeline ai engine look great pricing model high
8,"We like your product, but MediPlus offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","['Competition', 'Security']",like product mediplus offer better data pipeline solution soc certified team concerned compliance
9,"We like your product, but MediPlus offers better analytics. The automation looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","['Competition', 'Security', 'Pricing Discussion']",like product mediplus offer better analytics automation look great budget high solution encryption team concerned compliance
10,"The AI engine looks great, but the subscription cost is too high. I’m not sure if AI engine solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",ai engine look great subscription cost high im sure ai engine solves use case still evaluating
11,"The automation looks great, but the discount is too high. I’m not sure if automation solves our use case. We’re still evaluating.","['Objection', 'Pricing Discussion']",automation look great discount high im sure automation solves use case still evaluating
