id,text_snippet,labels
1,"We like your product, but TechCorp offers better automation. The AI engine looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
2,"The analytics looks great, but the budget is too high. I'm not sure if remote monitoring solves our use case. We're still evaluating.","Pricing Discussion, Objection"
3,"The data pipeline looks great, but the budget is too high. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Objection"
4,"The remote monitoring looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Security"
5,"The analytics looks great, but the pricing model is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Security"
6,"We like your product, but CompetitorX offers better AI engine. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection"
7,"The analytics looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
8,"The data pipeline looks great, but the subscription cost is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Security"
9,"We like your product, but CompetitorZ offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
10,"We like your product, but CompetitorZ offers better AI engine.",rand
11,"We like your product, but CompetitorY offers better analytics. Is your solution encryption? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.","Competition, Objection, Security"
12,"The AI engine looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
13,"We like your product, but TechCorp offers better analytics. The remote monitoring looks great, but the pricing model is too high. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
14,"We like your product, but MediPlus offers better data pipeline. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.","Competition, Objection, Security"
15,"We like your product, but TechCorp offers better analytics.",rand
16,"The analytics looks great, but the pricing model is too high.",Pricing Discussion
17,"We like your product, but TechCorp offers better AI engine. Is your solution data compliance? Our team is concerned about compliance.","Competition, Security"
18,"We like your product, but MediPlus offers better automation. The analytics looks great, but the discount is too high.",rand
19,"We like your product, but CompetitorY offers better automation. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection"
20,"The remote monitoring looks great, but the subscription cost is too high.",rand
21,"The analytics looks great, but the subscription cost is too high.",rand
22,"The automation looks great, but the budget is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Security"
23,"The AI engine looks great, but the budget is too high.",Pricing Discussion
24,Is your solution privacy policy? Our team is concerned about compliance.,Security
25,"We like your product, but TechCorp offers better analytics. The remote monitoring looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
26,"We like your product, but CompetitorX offers better analytics. I'm not sure if analytics solves our use case. We're still evaluating.",rand
27,"We like your product, but TechCorp offers better analytics. The remote monitoring looks great, but the pricing model is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
28,"We like your product, but MediPlus offers better remote monitoring. The data pipeline looks great, but the pricing model is too high.","Pricing Discussion, Competition"
29,"The data pipeline looks great, but the discount is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection"
30,"We like your product, but CompetitorZ offers better remote monitoring.",Competition
31,Is your solution SOC2 certified? Our team is concerned about compliance.,Security
32,"We like your product, but TechCorp offers better analytics. Is your solution data compliance? Our team is concerned about compliance.","Competition, Security"
33,"We like your product, but CompetitorX offers better AI engine. The analytics looks great, but the budget is too high. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
34,I'm not sure if analytics solves our use case. We're still evaluating.,Objection
35,"We like your product, but MediPlus offers better data pipeline. I'm not sure if automation solves our use case. We're still evaluating.","Competition, Objection"
36,"We like your product, but CompetitorX offers better analytics. The analytics looks great, but the discount is too high.",rand
37,"We like your product, but TechCorp offers better automation. I'm not sure if analytics solves our use case. We're still evaluating.",rand
38,Is your solution data compliance? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.,"Objection, Security"
39,"The AI engine looks great, but the budget is too high. Is your solution data compliance? Our team is concerned about compliance.","Pricing Discussion, Security"
40,"We like your product, but MediPlus offers better data pipeline. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.","Competition, Objection, Security"
41,"We like your product, but CompetitorX offers better data pipeline. The AI engine looks great, but the discount is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection"
42,"The automation looks great, but the pricing model is too high. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection"
43,"We like your product, but MediPlus offers better automation.",Competition
44,"We like your product, but CompetitorX offers better automation. The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
45,"The data pipeline looks great, but the budget is too high.",Pricing Discussion
46,Is your solution encryption? Our team is concerned about compliance. I'm not sure if analytics solves our use case. We're still evaluating.,"Objection, Security"
47,I'm not sure if remote monitoring solves our use case. We're still evaluating.,Objection
48,"We like your product, but CompetitorY offers better AI engine. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.","Competition, Objection, Security"
49,"The analytics looks great, but the pricing model is too high. I'm not sure if AI engine solves our use case. We're still evaluating.","Pricing Discussion, Objection"
50,"We like your product, but CompetitorY offers better automation. The remote monitoring looks great, but the subscription cost is too high. Is your solution privacy policy? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
51,I'm not sure if automation solves our use case. We're still evaluating.,rand
52,"The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
53,"The remote monitoring looks great, but the discount is too high. Is your solution encryption? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.","Pricing Discussion, Objection, Security"
54,Is your solution SOC2 certified? Our team is concerned about compliance.,rand
55,"The automation looks great, but the budget is too high. Is your solution encryption? Our team is concerned about compliance.","Pricing Discussion, Security"
56,"We like your product, but CompetitorZ offers better data pipeline. The data pipeline looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
57,"The remote monitoring looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Pricing Discussion, Security"
58,Is your solution data compliance? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.,rand
59,"We like your product, but CompetitorX offers better data pipeline. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
60,"We like your product, but MediPlus offers better data pipeline. The analytics looks great, but the discount is too high. Is your solution SOC2 certified? Our team is concerned about compliance. I'm not sure if AI engine solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
61,"We like your product, but CompetitorX offers better remote monitoring.",Competition
62,I'm not sure if remote monitoring solves our use case. We're still evaluating.,Objection
63,I'm not sure if AI engine solves our use case. We're still evaluating.,Objection
64,"The remote monitoring looks great, but the budget is too high.",Pricing Discussion
65,"We like your product, but TechCorp offers better AI engine. Is your solution privacy policy? Our team is concerned about compliance. I'm not sure if data pipeline solves our use case. We're still evaluating.","Competition, Objection, Security"
66,Is your solution data compliance? Our team is concerned about compliance. I'm not sure if remote monitoring solves our use case. We're still evaluating.,"Objection, Security"
67,"We like your product, but MediPlus offers better AI engine. Is your solution SOC2 certified? Our team is concerned about compliance.","Competition, Security"
68,"The analytics looks great, but the budget is too high. I'm not sure if AI engine solves our use case. We're still evaluating.","Pricing Discussion, Objection"
69,"The AI engine looks great, but the budget is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Pricing Discussion, Security"
70,"The data pipeline looks great, but the subscription cost is too high. I'm not sure if analytics solves our use case. We're still evaluating.","Pricing Discussion, Objection"
71,"We like your product, but MediPlus offers better analytics. I'm not sure if automation solves our use case. We're still evaluating.","Competition, Objection"
72,"The analytics looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if automation solves our use case. We're still evaluating.",rand
73,"We like your product, but CompetitorZ offers better analytics. The automation looks great, but the subscription cost is too high. Is your solution SOC2 certified? Our team is concerned about compliance.","Pricing Discussion, Competition, Security"
74,"We like your product, but CompetitorZ offers better data pipeline.",Competition
75,"We like your product, but CompetitorZ offers better analytics. I'm not sure if AI engine solves our use case. We're still evaluating.","Competition, Objection"
76,"We like your product, but CompetitorX offers better data pipeline. The analytics looks great, but the subscription cost is too high. Is your solution data compliance? Our team is concerned about compliance. I'm not sure if remote monitoring solves our use case. We're still evaluating.","Pricing Discussion, Competition, Objection, Security"
